section,field_path,play_console_question,data_category,data_type,draft_answer,response_value,review_status,confidence,evidence_refs,notes
data_type,data_types[1].shared,shared,App info and performance,Diagnostics,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[1].processed_ephemerally,processed_ephemerally,App info and performance,Diagnostics,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[1].required_or_optional,required_or_optional,App info and performance,Diagnostics,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[1].purposes,purposes,App info and performance,Diagnostics,Analytics;App functionality,,NEED_HUMAN,0.65,evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[1].linked_to_identity,linked_to_identity,App info and performance,Diagnostics,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[1].used_for_tracking,used_for_tracking,App info and performance,Diagnostics,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0073;evidence.0074;evidence.0075;evidence.0076;evidence.0077;evidence.0078;evidence.0094;evidence.0095;evidence.0096;evidence.0097;evidence.0098;evidence.0099;evidence.0005;evidence.0007;evidence.0008;evidence.0009;evidence.0006,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[2].collected,collected,Calendar,Calendar events,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0127;evidence.0128;evidence.0144;evidence.0145,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[2].shared,shared,Calendar,Calendar events,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0127;evidence.0128;evidence.0144;evidence.0145,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[2].processed_ephemerally,processed_ephemerally,Calendar,Calendar events,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0127;evidence.0128;evidence.0144;evidence.0145,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[2].required_or_optional,required_or_optional,Calendar,Calendar events,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0127;evidence.0128;evidence.0144;evidence.0145,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[2].purposes,purposes,Calendar,Calendar events,App functionality,,NEED_HUMAN,0.65,evidence.0127;evidence.0128;evidence.0144;evidence.0145,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[2].linked_to_identity,linked_to_identity,Calendar,Calendar events,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0127;evidence.0128;evidence.0144;evidence.0145,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[2].used_for_tracking,used_for_tracking,Calendar,Calendar events,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0127;evidence.0128;evidence.0144;evidence.0145,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[3].collected,collected,Contacts,Contacts,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0118;evidence.0122;evidence.0126;evidence.0133;evidence.0134;evidence.0150;evidence.0151,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[3].shared,shared,Contacts,Contacts,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0118;evidence.0122;evidence.0126;evidence.0133;evidence.0134;evidence.0150;evidence.0151,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[3].processed_ephemerally,processed_ephemerally,Contacts,Contacts,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0118;evidence.0122;evidence.0126;evidence.0133;evidence.0134;evidence.0150;evidence.0151,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[3].required_or_optional,required_or_optional,Contacts,Contacts,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0118;evidence.0122;evidence.0126;evidence.0133;evidence.0134;evidence.0150;evidence.0151,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[3].purposes,purposes,Contacts,Contacts,App functionality,,NEED_HUMAN,0.65,evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0118;evidence.0122;evidence.0126;evidence.0133;evidence.0134;evidence.0150;evidence.0151,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[3].linked_to_identity,linked_to_identity,Contacts,Contacts,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0118;evidence.0122;evidence.0126;evidence.0133;evidence.0134;evidence.0150;evidence.0151,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[3].used_for_tracking,used_for_tracking,Contacts,Contacts,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0111;evidence.0112;evidence.0115;evidence.0116;evidence.0117;evidence.0118;evidence.0122;evidence.0126;evidence.0133;evidence.0134;evidence.0150;evidence.0151,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[4].collected,collected,Device or other IDs,Device or other IDs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[4].shared,shared,Device or other IDs,Device or other IDs,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[4].processed_ephemerally,processed_ephemerally,Device or other IDs,Device or other IDs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[4].required_or_optional,required_or_optional,Device or other IDs,Device or other IDs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[4].purposes,purposes,Device or other IDs,Device or other IDs,"Advertising or marketing;Fraud prevention, security, and compliance",,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[4].linked_to_identity,linked_to_identity,Device or other IDs,Device or other IDs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[4].used_for_tracking,used_for_tracking,Device or other IDs,Device or other IDs,YES_CANDIDATE,,NEED_HUMAN,0.65,evidence.0012;evidence.0013;evidence.0015;evidence.0016;evidence.0018;evidence.0019;evidence.0021;evidence.0022;evidence.0023;evidence.0025;evidence.0040;evidence.0044,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[5].collected,collected,Files and docs,Files and docs,YES_CANDIDATE,,NEED_HUMAN,0.65,evidence.0131;evidence.0132;evidence.0142;evidence.0143;evidence.0148;evidence.0149;evidence.0158;evidence.0159;evidence.0168;evidence.0169;evidence.0170;evidence.0171,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[5].shared,shared,Files and docs,Files and docs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0131;evidence.0132;evidence.0142;evidence.0143;evidence.0148;evidence.0149;evidence.0158;evidence.0159;evidence.0168;evidence.0169;evidence.0170;evidence.0171,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[5].processed_ephemerally,processed_ephemerally,Files and docs,Files and docs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0131;evidence.0132;evidence.0142;evidence.0143;evidence.0148;evidence.0149;evidence.0158;evidence.0159;evidence.0168;evidence.0169;evidence.0170;evidence.0171,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[5].required_or_optional,required_or_optional,Files and docs,Files and docs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0131;evidence.0132;evidence.0142;evidence.0143;evidence.0148;evidence.0149;evidence.0158;evidence.0159;evidence.0168;evidence.0169;evidence.0170;evidence.0171,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[5].purposes,purposes,Files and docs,Files and docs,App functionality,,NEED_HUMAN,0.65,evidence.0131;evidence.0132;evidence.0142;evidence.0143;evidence.0148;evidence.0149;evidence.0158;evidence.0159;evidence.0168;evidence.0169;evidence.0170;evidence.0171,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[5].linked_to_identity,linked_to_identity,Files and docs,Files and docs,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0131;evidence.0132;evidence.0142;evidence.0143;evidence.0148;evidence.0149;evidence.0158;evidence.0159;evidence.0168;evidence.0169;evidence.0170;evidence.0171,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[5].used_for_tracking,used_for_tracking,Files and docs,Files and docs,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0131;evidence.0132;evidence.0142;evidence.0143;evidence.0148;evidence.0149;evidence.0158;evidence.0159;evidence.0168;evidence.0169;evidence.0170;evidence.0171,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[6].collected,collected,Financial info,Purchase history,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0049;evidence.0050;evidence.0051;evidence.0083;evidence.0084;evidence.0085;evidence.0086;evidence.0087;evidence.0088;evidence.0091;evidence.0092;evidence.0093,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[6].shared,shared,Financial info,Purchase history,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0049;evidence.0050;evidence.0051;evidence.0083;evidence.0084;evidence.0085;evidence.0086;evidence.0087;evidence.0088;evidence.0091;evidence.0092;evidence.0093,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[6].processed_ephemerally,processed_ephemerally,Financial info,Purchase history,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0049;evidence.0050;evidence.0051;evidence.0083;evidence.0084;evidence.0085;evidence.0086;evidence.0087;evidence.0088;evidence.0091;evidence.0092;evidence.0093,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[6].required_or_optional,required_or_optional,Financial info,Purchase history,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0049;evidence.0050;evidence.0051;evidence.0083;evidence.0084;evidence.0085;evidence.0086;evidence.0087;evidence.0088;evidence.0091;evidence.0092;evidence.0093,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[6].purposes,purposes,Financial info,Purchase history,App functionality,,NEED_HUMAN,0.65,evidence.0049;evidence.0050;evidence.0051;evidence.0083;evidence.0084;evidence.0085;evidence.0086;evidence.0087;evidence.0088;evidence.0091;evidence.0092;evidence.0093,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[6].linked_to_identity,linked_to_identity,Financial info,Purchase history,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0049;evidence.0050;evidence.0051;evidence.0083;evidence.0084;evidence.0085;evidence.0086;evidence.0087;evidence.0088;evidence.0091;evidence.0092;evidence.0093,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[6].used_for_tracking,used_for_tracking,Financial info,Purchase history,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0049;evidence.0050;evidence.0051;evidence.0083;evidence.0084;evidence.0085;evidence.0086;evidence.0087;evidence.0088;evidence.0091;evidence.0092;evidence.0093,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[7].collected,collected,Health and fitness,Health info or fitness info,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0136;evidence.0137;evidence.0152;evidence.0153;evidence.0172,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[7].shared,shared,Health and fitness,Health info or fitness info,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0136;evidence.0137;evidence.0152;evidence.0153;evidence.0172,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[7].processed_ephemerally,processed_ephemerally,Health and fitness,Health info or fitness info,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0136;evidence.0137;evidence.0152;evidence.0153;evidence.0172,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[7].required_or_optional,required_or_optional,Health and fitness,Health info or fitness info,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0136;evidence.0137;evidence.0152;evidence.0153;evidence.0172,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[7].purposes,purposes,Health and fitness,Health info or fitness info,App functionality,,NEED_HUMAN,0.65,evidence.0136;evidence.0137;evidence.0152;evidence.0153;evidence.0172,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[7].linked_to_identity,linked_to_identity,Health and fitness,Health info or fitness info,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0136;evidence.0137;evidence.0152;evidence.0153;evidence.0172,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[7].used_for_tracking,used_for_tracking,Health and fitness,Health info or fitness info,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0136;evidence.0137;evidence.0152;evidence.0153;evidence.0172,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[8].collected,collected,Location,Approximate or precise location,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0061;evidence.0062;evidence.0063;evidence.0064;evidence.0065;evidence.0066;evidence.0067;evidence.0068;evidence.0069;evidence.0070;evidence.0071;evidence.0072,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[8].shared,shared,Location,Approximate or precise location,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0061;evidence.0062;evidence.0063;evidence.0064;evidence.0065;evidence.0066;evidence.0067;evidence.0068;evidence.0069;evidence.0070;evidence.0071;evidence.0072,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[8].processed_ephemerally,processed_ephemerally,Location,Approximate or precise location,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0061;evidence.0062;evidence.0063;evidence.0064;evidence.0065;evidence.0066;evidence.0067;evidence.0068;evidence.0069;evidence.0070;evidence.0071;evidence.0072,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[8].required_or_optional,required_or_optional,Location,Approximate or precise location,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0061;evidence.0062;evidence.0063;evidence.0064;evidence.0065;evidence.0066;evidence.0067;evidence.0068;evidence.0069;evidence.0070;evidence.0071;evidence.0072,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[8].purposes,purposes,Location,Approximate or precise location,App functionality,,NEED_HUMAN,0.65,evidence.0061;evidence.0062;evidence.0063;evidence.0064;evidence.0065;evidence.0066;evidence.0067;evidence.0068;evidence.0069;evidence.0070;evidence.0071;evidence.0072,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[8].linked_to_identity,linked_to_identity,Location,Approximate or precise location,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0061;evidence.0062;evidence.0063;evidence.0064;evidence.0065;evidence.0066;evidence.0067;evidence.0068;evidence.0069;evidence.0070;evidence.0071;evidence.0072,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[8].used_for_tracking,used_for_tracking,Location,Approximate or precise location,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0061;evidence.0062;evidence.0063;evidence.0064;evidence.0065;evidence.0066;evidence.0067;evidence.0068;evidence.0069;evidence.0070;evidence.0071;evidence.0072,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[9].collected,collected,Messages,Other in-app messages,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0048;evidence.0056;evidence.0057;evidence.0058;evidence.0059;evidence.0060;evidence.0079;evidence.0080;evidence.0081;evidence.0082;evidence.0089;evidence.0090,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[9].shared,shared,Messages,Other in-app messages,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0048;evidence.0056;evidence.0057;evidence.0058;evidence.0059;evidence.0060;evidence.0079;evidence.0080;evidence.0081;evidence.0082;evidence.0089;evidence.0090,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[9].processed_ephemerally,processed_ephemerally,Messages,Other in-app messages,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0048;evidence.0056;evidence.0057;evidence.0058;evidence.0059;evidence.0060;evidence.0079;evidence.0080;evidence.0081;evidence.0082;evidence.0089;evidence.0090,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[9].required_or_optional,required_or_optional,Messages,Other in-app messages,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0048;evidence.0056;evidence.0057;evidence.0058;evidence.0059;evidence.0060;evidence.0079;evidence.0080;evidence.0081;evidence.0082;evidence.0089;evidence.0090,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[9].purposes,purposes,Messages,Other in-app messages,App functionality,,NEED_HUMAN,0.65,evidence.0048;evidence.0056;evidence.0057;evidence.0058;evidence.0059;evidence.0060;evidence.0079;evidence.0080;evidence.0081;evidence.0082;evidence.0089;evidence.0090,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[9].linked_to_identity,linked_to_identity,Messages,Other in-app messages,NEED_HUMAN,,NEED_HUMAN,0.65,evidence.0048;evidence.0056;evidence.0057;evidence.0058;evidence.0059;evidence.0060;evidence.0079;evidence.0080;evidence.0081;evidence.0082;evidence.0089;evidence.0090,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
data_type,data_types[9].used_for_tracking,used_for_tracking,Messages,Other in-app messages,NO_NOT_OBSERVED,,NEED_HUMAN,0.65,evidence.0048;evidence.0056;evidence.0057;evidence.0058;evidence.0059;evidence.0060;evidence.0079;evidence.0080;evidence.0081;evidence.0082;evidence.0089;evidence.0090,近似 Play Console CSV 草稿；必须用官方导出的 CSV/sample CSV 对齐后再导入。
